"letter","xbox","ybox","width","height","onpix","xbar","ybar","x2bar","y2bar","xybar","x2ybar","xy2bar","xedge","xedgey","yedge","yedgex","RowID"
"B",5,9,5,7,4,6,7,9,7,7,6,7,2,8,9,9,6382
"S",3,7,4,5,5,8,8,5,3,8,5,8,4,9,10,6,5348
"W",8,11,8,8,6,3,10,2,3,9,9,8,8,11,2,5,10874
"D",3,3,4,2,2,7,7,6,7,7,6,5,2,8,3,7,7915
"E",4,9,4,6,4,3,6,5,9,6,7,13,0,8,7,9,2165
"I",0,1,1,2,1,7,7,1,6,7,6,NA,0,8,2,8,3221
"X",4,11,6,8,5,7,7,3,8,5,6,8,2,8,6,8,9326
"A",3,10,5,8,3,13,4,5,3,12,0,8,2,6,3,9,15478
"F",4,8,5,6,5,4,10,2,5,10,10,6,1,10,3,6,10722
"H",4,3,4,4,2,7,6,14,1,7,8,8,3,8,0,8,3266
"T",4,10,5,7,3,8,14,1,5,6,10,9,0,8,0,8,19879
"T",5,10,5,7,3,6,11,3,7,11,9,4,2,12,3,4,10272
"P",6,8,8,6,5,7,11,7,3,9,5,3,3,11,4,8,15564
"G",4,9,5,7,4,7,6,7,6,6,7,9,2,8,4,8,6647
"V",2,6,4,4,2,9,12,2,3,4,10,9,2,11,1,9,3170
"W",3,6,5,4,5,8,9,5,4,5,9,9,5,8,2,7,11858
"Z",5,10,6,8,NA,7,8,3,12,9,6,8,0,8,8,7,4325
"M",6,10,9,8,7,6,6,7,6,7,8,11,9,6,2,9,15436
"T",5,10,7,8,4,5,12,3,8,8,12,8,1,12,1,7,16125
"I",1,4,1,2,1,7,7,1,7,7,6,8,0,8,2,8,14147
"T",6,11,5,6,2,5,10,2,7,13,7,5,2,8,4,4,7785
"X",2,3,4,2,1,9,6,2,8,10,3,7,2,8,2,8,19768
"A",3,3,5,4,1,8,6,3,1,7,1,8,2,7,1,8,1140
"T",5,10,7,8,8,5,8,4,7,7,6,9,5,8,5,6,15449
"A",3,6,4,4,2,10,2,2,3,8,2,8,2,6,2,8,12003
"S",3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,7843
"W",3,2,5,4,3,7,11,2,2,7,9,8,7,11,0,8,2803
"L",4,7,5,5,4,7,6,8,6,5,6,8,3,7,5,11,9612
"U",4,5,5,4,3,6,9,5,7,7,10,9,3,9,1,8,8881
"B",4,10,4,8,4,6,7,9,6,7,6,7,2,8,9,10,18637
"U",7,8,8,6,3,4,8,5,8,10,10,9,3,9,2,6,742
"O",2,3,3,2,2,7,7,6,4,9,6,8,2,8,2,8,15239
"I",0,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,15096
"I",1,3,1,2,0,7,8,0,6,12,6,8,0,8,0,7,9182
"N",3,7,5,5,3,6,9,3,4,10,8,8,5,8,1,7,16266
"S",4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8,343
"G",4,7,5,5,3,7,6,7,7,11,6,11,2,10,4,9,12597
"I",2,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,19833
"J",3,10,4,8,4,8,6,2,4,11,5,10,1,6,2,6,11503
"V",3,8,4,6,2,7,9,4,2,7,12,8,2,10,0,8,14258
"D",4,6,NA,4,4,9,7,NA,6,10,4,5,3,8,3,8,8162
"K",6,9,9,7,5,3,9,3,7,11,11,11,3,8,3,5,14998
"P",5,10,7,8,6,7,10,5,4,12,5,3,1,10,3,8,1310
"B",6,11,4,6,3,10,5,6,5,11,3,9,6,7,6,10,3766
"Z",3,6,4,4,2,7,7,3,14,9,6,8,0,8,8,8,7117
"J",2,5,3,8,1,12,3,10,4,13,5,13,1,6,0,8,1907
"F",3,11,4,8,3,1,13,4,4,12,10,7,0,8,2,6,4750
"S",3,5,5,4,4,8,9,NA,5,7,7,8,4,11,7,10,6176
"J",2,6,3,4,1,10,7,1,6,12,3,7,0,7,0,7,9489
"O",4,4,6,6,2,8,7,8,8,7,6,9,3,8,4,8,13872
"V",4,7,4,5,2,3,12,5,4,12,11,7,3,10,1,8,17928
"O",5,9,4,4,2,9,7,5,4,9,4,8,4,9,5,9,11443
"C",4,7,5,5,2,6,8,7,11,6,6,13,1,7,4,8,9052
"G",6,11,8,9,9,7,9,6,3,6,6,9,6,7,8,7,7341
"K",6,10,8,7,6,8,7,1,7,10,4,8,4,7,NA,8,17933
"H",5,10,8,8,5,8,5,3,6,9,5,8,4,7,4,8,18321
"S",4,9,5,6,5,7,6,7,6,6,8,10,2,11,9,7,10027
"T",6,11,6,8,4,5,12,2,8,12,9,4,1,11,2,4,10432
"W",4,10,6,8,8,7,7,6,3,8,8,7,6,8,4,9,3745
"R",2,4,4,2,2,8,7,3,5,10,4,7,2,7,3,10,7852
"D",5,9,5,7,5,5,7,9,7,6,5,5,2,8,3,8,397
"U",5,11,7,8,5,4,9,6,7,9,11,10,3,9,1,8,4815
"D",4,6,6,4,4,9,7,3,6,11,4,6,3,8,3,8,18682
"O",5,10,5,8,4,8,7,8,5,10,5,8,3,8,3,8,3359
"U",4,9,5,7,4,8,6,13,4,7,11,8,3,9,0,8,2668
"F",2,3,2,2,1,5,11,4,4,11,9,5,1,9,3,7,9600
"N",3,5,4,3,3,7,8,NA,5,7,7,6,5,9,2,6,8959
"E",3,4,5,3,2,7,7,2,8,11,7,9,2,8,4,8,3412
"J",5,11,4,8,3,9,7,2,4,12,5,7,2,9,7,9,3337
"P",2,3,3,2,1,6,10,5,4,9,7,3,1,10,4,6,13405
"G",4,6,4,4,2,6,7,6,6,9,8,10,2,8,4,NA,15071
"J",4,4,5,5,4,7,9,4,5,7,7,8,3,7,6,6,16996
"T",2,9,3,6,1,7,14,0,6,7,11,8,0,8,0,8,15613
"V",3,8,5,6,1,8,8,4,3,6,14,8,3,10,0,8,11437
"Z",2,7,3,5,2,7,8,3,11,8,6,8,0,8,7,7,2904
"N",3,4,5,3,2,7,9,2,5,10,6,6,5,9,1,7,10561
"N",5,11,6,9,3,7,7,15,2,4,6,8,6,8,0,8,4393
"M",5,7,7,5,4,11,6,3,5,9,2,6,8,6,2,9,11974
"A",1,0,2,0,NA,7,4,2,0,7,2,8,1,7,1,8,8576
"P",3,1,4,2,2,5,10,4,4,10,8,4,1,9,4,7,2242
"F",4,6,6,4,3,7,9,3,6,13,6,5,2,9,2,7,17410
"R",5,10,7,8,9,6,8,3,4,6,6,9,8,9,9,7,5905
"B",3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,124
"O",5,9,7,8,6,6,6,5,5,7,4,7,4,8,6,7,7713
"H",2,4,4,3,3,7,7,3,5,10,6,8,3,8,2,7,16877
"M",3,1,4,3,3,8,6,6,4,7,7,8,7,5,1,7,12895
"L",2,5,3,4,2,4,4,4,7,2,1,6,0,7,1,6,14796
"P",4,8,4,5,2,3,14,8,1,11,7,3,1,10,4,8,1025
"B",3,5,5,3,3,7,8,3,5,10,6,6,2,8,5,8,6490
"V",3,7,5,5,2,9,9,4,1,6,12,8,3,9,1,7,10232
"F",1,1,2,2,1,6,10,4,4,10,8,5,1,9,3,7,17298
"C",4,10,5,7,3,6,8,7,7,13,8,8,2,11,3,7,14797
"C",2,1,2,2,1,6,8,7,6,9,7,11,2,10,4,10,4476
"A",5,11,8,8,5,11,2,3,3,9,2,9,5,7,4,9,2986
"V",3,9,5,7,2,8,8,4,3,6,14,8,3,10,0,8,15835
"A",5,11,9,8,7,8,4,1,4,6,2,6,5,8,6,6,18593
"J",1,3,2,1,0,8,6,3,5,14,7,11,1,7,0,7,19108
"V",3,2,5,4,2,7,12,2,3,7,11,9,2,10,1,8,12925
"A",1,0,2,0,0,7,4,2,0,7,2,8,1,6,1,8,5753
"E",3,8,4,6,2,3,6,6,11,7,7,15,0,8,7,7,14035
"L",5,10,5,7,2,0,1,5,6,0,0,7,0,8,0,8,8403
"X",3,8,5,6,3,8,7,4,8,6,6,8,3,8,6,8,2370
"M",5,9,8,7,6,5,7,3,4,10,9,9,8,6,3,8,1062
"B",5,11,7,8,8,7,8,6,4,6,4,6,5,7,7,7,19399
"Q",4,7,6,7,3,8,8,7,6,5,7,8,3,8,5,9,15100
"T",3,4,4,6,1,8,15,1,6,6,11,9,0,8,0,8,19672
"S",3,2,3,3,2,8,8,6,5,7,6,7,2,8,9,8,5335
"P",3,7,3,4,2,4,12,8,2,10,6,4,1,10,4,8,591
"H",3,7,5,5,4,6,7,6,4,6,5,8,3,7,6,11,5149
"O",6,10,8,8,6,8,5,9,4,6,5,5,5,7,4,8,6560
"M",3,4,5,3,3,8,6,2,4,8,5,7,8,7,2,8,19315
"Y",6,7,6,5,3,3,10,2,7,10,11,6,1,11,2,5,9039
"K",7,11,10,8,6,8,6,2,7,10,4,9,5,6,5,8,12516
"J",2,7,3,5,1,12,2,9,4,13,5,13,1,6,0,8,14304
"L",3,5,3,3,2,4,3,5,6,2,2,NA,1,6,0,6,12614
"D",4,8,6,6,8,9,9,4,4,8,7,5,4,9,8,6,11200
"N",3,6,4,4,3,7,7,6,6,7,6,8,3,7,3,8,8792
"C",4,8,5,6,3,5,8,6,6,8,8,15,3,10,4,10,2718
"Y",5,9,8,6,4,8,10,1,7,5,11,8,2,12,3,8,9488
"S",4,8,5,6,3,6,8,4,6,10,9,8,2,9,5,4,421
"X",4,11,6,8,4,7,7,4,9,6,6,8,3,8,7,7,4885
"W",9,10,9,7,9,4,10,2,3,9,8,8,8,11,2,6,14835
"B",4,5,4,7,4,6,7,10,7,7,6,7,2,8,8,9,16736
"X",7,11,10,8,5,10,7,2,9,11,1,6,4,9,4,10,5385
